id,question,expected_sources,category,difficulty,source_verified,multi_source,section_context,review_status,reviewer_notes
k5607-014,Yabancı ülkeden gelen yasak eşya yükleme veya taşıma belgelerinde gösterilerek gümrüğe getirilmişse hangi güvenlik koşulları altında nereye gönderilebilir?,5607_kacakcilikla_mucadele_kanunu/normal/12,procedural_condition,medium,True,False,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-015,Kaçak eşya taşımasında bilerek kullanılan bir taşıtın müsadere edilebilmesi için 5607 sayılı Kanunda öngörülen koşullardan hangileri vardır?,5607_kacakcilikla_mucadele_kanunu/normal/13,confiscation,hard,True,False,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-016,"Müsadere yaptırımının uygulanabileceği eşyanın tasfiyesi bakımından, kaçak akaryakıt dışındaki eşya için temel süre ve istisnai hızlandırma koşulları nelerdir?",5607_kacakcilikla_mucadele_kanunu/normal/16,procedural_condition,hard,True,False,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-017,"Elkonulan ve teknik düzenlemelere uygun kaçak akaryakıtın hangi kurumlar tarafından, hangi yöntemlerle tasfiye edilmesi öngörülür?",5607_kacakcilikla_mucadele_kanunu/normal/16/a,authority_responsibility,hard,True,False,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-018,5607 sayılı Kanun kapsamındaki suçlar nedeniyle açılan davalara hangi mahkemeler bakar; resmî belgede sahtecilik bağlantısı varsa görevli mahkeme nasıl değişir?,5607_kacakcilikla_mucadele_kanunu/normal/17,authority_responsibility,medium,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-019,"Kaçakçılık fiillerini önleme, izleme ve araştırma yükümlülüğü hangi kamu görevlileri ve kurum personeline verilmiştir?",5607_kacakcilikla_mucadele_kanunu/normal/19,authority_responsibility,medium,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-020,Kaçakçılık fiillerinin izlenmesine ilişkin tutanakta olay ve kanıtlar ile elkonulan eşya ve taşıma araçları hakkında hangi ayrıntılar bulunmalıdır?,5607_kacakcilikla_mucadele_kanunu/normal/20,procedural_rule,hard,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-021,5607 sayılı Kanun çerçevesindeki kontrollü teslimat işlemlerini hangi kurumlar yürütür?,5607_kacakcilikla_mucadele_kanunu/normal/21,authority_responsibility,easy,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-022,"Gümrük kapıları ve yolları dışından gümrük bölgesine girmek isteyen kişi “dur” uyarısına uymazsa, silah kullanma yetkisi bakımından kanun hangi aşamalı uyarıyı öngörür?",5607_kacakcilikla_mucadele_kanunu/normal/22,procedural_condition,medium,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-023,Kaçak şüphesiyle eşya yakalanması hâlinde muhbir ve elkoyma ikramiyesine hak kazananlara ödeme yapılmasının temel dayanağı nedir?,5607_kacakcilikla_mucadele_kanunu/normal/23,authority_responsibility,medium,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-024,"Kaçakçılık fiillerinin önlenmesi, izlenmesi ve araştırılması için kriminal laboratuvarları hangi kurum kurar ve çalışma usul ve esaslarını kim belirler?",5607_kacakcilikla_mucadele_kanunu/normal/24,authority_responsibility,easy,True,False,Dördüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-025,"Eşyayı gümrük işlemlerine tabi tutmaksızın ülkeye sokan kişi için Madde 3 fıkra 1'deki temel yaptırım nedir; aynı suç örgüt faaliyeti çerçevesinde işlenirse ve eşya toplum sağlığını tehdit edecek nitelikteyse Madde 4 fıkra 1 ve 7 hangi ek sonuçları, hangi koşulla öngörür?",5607_kacakcilikla_mucadele_kanunu/normal/3 | 5607_kacakcilikla_mucadele_kanunu/normal/4,multi_part,hard,True,True,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-026,"Eşyayı gümrük işlemlerine tabi tutmaksızın ülkeye sokmanın Madde 3 fıkra 1'deki temel yaptırımı nedir; Madde 5 kapsamında etkin pişmanlıkla ödeme yapılırsa ödeme tutarı, soruşturma ve kovuşturma evrelerindeki indirimler ve bu imkândan yararlanamayan hâller nelerdir?",5607_kacakcilikla_mucadele_kanunu/normal/3 | 5607_kacakcilikla_mucadele_kanunu/normal/5,multi_part,hard,True,True,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-027,Kaçak şüphesiyle elkonulan eşyanın gümrük idaresine tesliminde Madde 11'e göre tutanakta hangi ayırıcı bilgiler bulunmalıdır; ayrıca kaçak akaryakıt dışındaki eşya için Madde 16'da tasfiye kararı verilmesinin temel süresi ve bu sürede karar verilmemesinin sonucu nedir?,5607_kacakcilikla_mucadele_kanunu/normal/11 | 5607_kacakcilikla_mucadele_kanunu/normal/16,multi_part,hard,True,True,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-028,16/A ve 23 üncü maddelerde belirtilen yönetmeliklerin yürürlüğe konulması için Geçici Madde 7 hangi süreyi öngörür?,5607_kacakcilikla_mucadele_kanunu/gecici/7,long_tail,medium,True,False,Beşinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-029,"Madde 3 fıkra 2 hangi fiili ve yaptırımı düzenler; gümrük vergilerinin kısmen eksik ödenmesi nedeniyle açılmış kamu davalarında, Geçici Madde 10'un yürürlüğünden önce elkonulan ve müsadere kararı verilmemiş kara taşıtlarının iadesi için bu geçici hüküm hangi başvuru, ödeme ve tasfiye koşullarını arar?",5607_kacakcilikla_mucadele_kanunu/normal/3 | 5607_kacakcilikla_mucadele_kanunu/gecici/10,multi_part,hard,True,True,İkinci Bölüm | Beşinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-030,Madde 5 fıkra 2(b) uyarınca kovuşturma evresinde hangi ödeme karşılığında ne oranda ceza indirimi uygulanır; Geçici Madde 12 fıkra 1 bu imkânı hüküm verilmiş ve dosyası infaz aşamasındaki kişilere hangi ödeme ve geçici süre koşullarıyla tanır?,5607_kacakcilikla_mucadele_kanunu/normal/5 | 5607_kacakcilikla_mucadele_kanunu/gecici/12,multi_part,hard,True,True,İkinci Bölüm | Beşinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
