id,dataset,question,expected_sources,case_type,difficulty,top1_qualified_source_key,top1_legislation,first_expected_source_rank,any_source_hit_at_1,any_source_hit_at_3,any_source_hit_at_5,all_sources_match_at_1,all_sources_match_at_3,all_sources_match_at_5,expected_legislation_hit_at_1,expected_legislation_hit_at_3,expected_legislation_hit_at_5,non_expected_legislation_count_at_5,non_expected_legislation_share_at_5,top5_qualified_source_keys,embedding_tokens,retrieval_latency_ms,error_type,safe_error
q011,5326,Kabahatlerde soruşturma zamanaşımı süresi nasıl belirlenir?,5326/normal/20,,,5326/normal/20,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/20 | 5326/normal/21 | 5326/normal/5 | 5326/normal/27 | 5326/normal/23,25,298.5080999787897,,
q012,5326,Kesinleşen idarî yaptırım kararlarının yerine getirilmesinde zamanaşımı nasıl düzenlenmiştir?,5326/normal/21,,,5326/normal/21,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/21 | 5326/normal/26 | 5326/normal/27 | 5326/normal/25 | 5326/normal/28,37,268.05090002017096,,
q013,5326,İdarî yaptırım kararına ilişkin tutanakta hangi bilgilerin bulunması gerekir?,5326/normal/25,,,5326/normal/25,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/25 | 5326/normal/27 | 5326/normal/26 | 5326/normal/28 | 5326/normal/16,30,263.27100000344217,,
q014,5326,İdarî para cezasına karşı hangi sürede ve nereye başvurulabilir?,5326/normal/27,,,5326/normal/17,5326,2,False,True,True,False,True,True,True,True,True,0,0.0,5326/normal/17 | 5326/normal/27 | 5326/normal/28 | 5326/gecici/3 | 5326/normal/20,23,286.86829999787733,,
q015,5326,Yetkili makamın hukuka uygun olarak verdiği emre aykırı davranmanın yaptırımı nedir?,5326/normal/32,,,5326/normal/32,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/32 | 5326/normal/37 | 5326/normal/41 | 5326/normal/27 | 5326/normal/28,33,264.3771999864839,,
q016,5326,Kabahatler Kanunu'nun genel kuralları başka kanunlardaki idari para cezalarına hangi durumda uygulanır?,5326/normal/3,paraphrase,medium,5326/normal/3,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/3 | 5326/gecici/3 | 5326/normal/15 | 5326/normal/28 | 5326/normal/1,38,287.93839999707416,,
q017,5326,"Bir kabahat, davranışın yapıldığı anda mı yoksa sonucu ortaya çıktığında mı işlenmiş sayılır?",5326/normal/5,paraphrase,easy,5326/normal/5,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/5 | 5326/normal/7 | 5326/normal/2 | 5326/normal/14 | 5326/normal/20,38,252.26189999375492,,
q018,5326,Bir şeyi yapmamak hangi şartla kabahat sayılabilir?,5326/normal/7,paraphrase,medium,5326/normal/7,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/7 | 5326/normal/14 | 5326/normal/2 | 5326/normal/41 | 5326/normal/15,21,276.0531000094488,,
q019,5326,Şirket çalışanının işi sırasında işlediği kabahat yüzünden şirket sahibine de yaptırım uygulanabilir mi?,5326/normal/8,paraphrase,medium,5326/normal/8,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/8 | 5326/normal/27 | 5326/normal/16 | 5326/normal/15 | 5326/normal/14,41,275.65949998097494,,
q020,5326,Kişinin yanılmasıyla ilgili ceza hukuku kuralları her kabahatte uygulanır mı?,5326/normal/10,paraphrase,medium,5326/normal/5,5326,4,False,False,True,False,False,True,True,True,True,0,0.0,5326/normal/5 | 5326/normal/12 | 5326/normal/28 | 5326/normal/10 | 5326/normal/20,29,249.4237000355497,,
q021,5326,Bir eşyaya kabahat nedeniyle devletçe el konulup mülkiyetinin alınabilmesi için mutlaka faile ayrıca ceza verilmiş olması gerekir mi?,5326/normal/18,paraphrase,medium,5326/normal/18,5326,1,True,True,True,True,True,True,True,True,True,2,0.4,5326/normal/18 | 4458/normal/57 | 5326/normal/14 | 5326/normal/27 | 4458/normal/180,54,273.4453000011854,,
q022,5326,Kanun cezayı verecek görevliyi açıkça söylemiyorsa idari yaptırım kararını kim verir?,5326/normal/22,paraphrase,easy,5326/normal/25,5326,3,False,True,True,False,True,True,True,True,True,0,0.0,5326/normal/25 | 5326/normal/26 | 5326/normal/22 | 5326/normal/27 | 5326/normal/43/a,35,278.0219999840483,,
q023,5326,İdari yaptırım kararı kişiye bildirilirken itiraz edebileceği yer ve süre de yazılmak zorunda mı?,5326/normal/26,paraphrase,easy,5326/normal/29,5326,4,False,False,True,False,False,True,True,True,True,1,0.2,5326/normal/29 | 5326/normal/27 | 4458/normal/242 | 5326/normal/26 | 5326/normal/25,40,235.5103000300005,,
q024,5326,Kabahate teşebbüs hangi istisnai durumda cezalandırılabilir ve bu durumda hangi hükümler uygulanır?,5326/normal/13,exception_condition,medium,5326/normal/13,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/13 | 5326/normal/14 | 5326/normal/43/a | 5326/normal/41 | 5326/normal/37,41,242.05349996918812,,
q025,5326,Tek bir davranış hem suç hem kabahat olarak düzenlenmişse hangi yaptırım uygulanır; suçtan ceza verilemezse ne olur?,5326/normal/15,exception_condition,medium,5326/normal/43/a,5326,2,False,True,True,False,True,True,True,True,True,0,0.0,5326/normal/43/a | 5326/normal/15 | 5326/normal/27 | 5326/normal/28 | 5326/normal/14,43,262.95870001195,,
q026,5326,İdari para cezası ödeme süresinde ödenirse indirim uygulanır mı ve ödeme itiraz hakkını ortadan kaldırır mı?,5326/normal/17,exception_condition,medium,5326/normal/17,5326,1,True,True,True,True,True,True,True,True,True,1,0.2,5326/normal/17 | 5326/normal/28 | 4458/normal/242 | 5326/normal/27 | 5326/normal/29,43,261.335399991367,,
q027,5326,Nispi idari para cezasını gerektiren bir kabahatte soruşturma zamanaşımı kaç yıldır?,5326/normal/20,exception_condition,medium,5326/normal/20,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/20 | 5326/gecici/3 | 5326/normal/21 | 5326/normal/28 | 5326/normal/27,32,282.19960001297295,,
q028,5326,Mücbir sebeple on beş günlük başvuru süresi kaçırılırsa ne kadar sürede başvurulabilir ve başvuru kesinleşmeyi durdurur mu?,5326/normal/27,exception_condition,hard,4458/normal/227,4458,2,False,True,True,False,True,True,False,True,True,3,0.6,4458/normal/227 | 5326/normal/27 | 5326/normal/28 | 4458/gecici/6 | 4458/gecici/10,49,265.62980003654957,,
q029,5326,Kanun yolu başvurusundan vazgeçen kişi aynı konuda yeniden başvurabilir mi?,5326/normal/30,exception_condition,easy,5326/normal/30,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/30 | 5326/normal/29 | 5326/normal/31 | 5326/normal/27 | 5326/gecici/3,30,282.4094999814406,,
q030,5326,"Kamu binasında sigara içme yasağı, sigara içmek için ayrılmış bölümde de uygulanır mı?",5326/normal/39,exception_condition,easy,5326/normal/39,5326,1,True,True,True,True,True,True,True,True,True,2,0.4,5326/normal/39 | 4458/normal/191 | 5326/normal/43/c | 5326/normal/42 | 4458/normal/232,35,256.53869996313006,,
q031,5326,Çevreyi kirleten kişi kirliliği hemen temizlerse yine de idari para cezası verilmesi zorunlu mudur?,5326/normal/41,exception_condition,medium,5326/normal/41,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/41 | 5326/normal/36 | 5326/normal/43/a | 5326/normal/32 | 5326/normal/33,39,267.2640000237152,,
q032,5326,İdari yaptırım kararını vermeye kim yetkilidir ve karar tutanağında kişi ile fiil hakkında hangi temel bilgiler bulunmalıdır?,5326/normal/22 | 5326/normal/25,multi_part,hard,5326/normal/25,5326,1,True,True,True,False,False,False,True,True,True,0,0.0,5326/normal/25 | 5326/normal/27 | 5326/normal/26 | 5326/normal/28 | 5326/normal/24,46,269.7285999893211,,
q033,5326,Bir fiilin soruşturma sırasında veya kovuşturma sırasında kabahat olduğu anlaşılırsa idari yaptırım kararını sırasıyla kim verir?,5326/normal/23 | 5326/normal/24,multi_part,hard,5326/normal/27,5326,4,False,False,True,False,False,False,True,True,True,0,0.0,5326/normal/27 | 5326/normal/15 | 5326/normal/20 | 5326/normal/24 | 5326/normal/28,51,287.57290000794455,,
q034,5326,İdari yaptırım kararı nasıl tebliğ edilir ve bu karara karşı olağan başvurunun mercii ile süresi nedir?,5326/normal/26 | 5326/normal/27,multi_part,medium,5326/normal/26,5326,1,True,True,True,False,True,True,True,True,True,1,0.2,5326/normal/26 | 5326/normal/27 | 5326/normal/28 | 5326/normal/29 | 4458/normal/242,42,272.49449997907504,,
q035,5326,İdari para cezasını süresinde ödeyen kişi indirimden yararlanıp yine de kanun yoluna başvurabilir mi ve bu başvuru harca tabi midir?,5326/normal/17 | 5326/normal/31,multi_part,hard,5326/normal/17,5326,1,True,True,True,False,False,False,True,True,True,0,0.0,5326/normal/17 | 5326/normal/28 | 5326/normal/27 | 5326/normal/21 | 5326/normal/43/a,48,248.1017999816686,,
q036,5326,Eşyanın mülkiyetinin kamuya geçirilmesi kararı ne zaman yerine getirilir ve bu karar için yerine getirme zamanaşımı ne kadardır?,5326/normal/18 | 5326/normal/21,multi_part,hard,5326/normal/18,5326,1,True,True,True,False,True,True,True,True,True,3,0.6,5326/normal/18 | 5326/normal/21 | 4458/normal/17 | 4458/normal/64 | 4458/normal/57,46,291.7746999883093,,
q037,5326,Dilencilik ve kumar kabahatlerinde gelire ne olur ve mülkiyetin kamuya geçirilmesine hangi makamlar karar verir?,5326/normal/33 | 5326/normal/34,multi_part,hard,5326/normal/34,5326,1,True,True,True,False,True,True,True,True,True,0,0.0,5326/normal/34 | 5326/normal/33 | 5326/normal/18 | 5326/normal/27 | 5326/normal/28,40,265.00000001396984,,
q038,5326,112'yi kasıtlı biçimde meşgul eden veya asılsız ihbarda bulunan kişi bir yıl içinde aynı fiili tekrarlarsa ceza nasıl uygulanır?,5326/normal/42/a,long_tail,medium,5326/normal/42/a,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/42/a | 5326/normal/43/a | 5326/normal/15 | 5326/normal/20 | 5326/normal/17,53,259.5161000499502,,
q039,5326,Bir şirket yararına rüşvet veya dolandırıcılık işlenirse şirkete ayrıca idari para cezasını hangi mahkeme verebilir?,5326/normal/43/a,long_tail,hard,5326/normal/43/a,5326,1,True,True,True,True,True,True,True,True,True,1,0.2,5326/normal/43/a | 5326/normal/37 | 4458/normal/218/a | 5326/normal/14 | 5326/normal/41,45,269.4583000265993,,
q040,5326,Bir banka kendisine verilen paranın sahte olduğunu fark ettiği halde bildirim yapmazsa tüzel kişiye kim idari para cezası verebilir?,5326/normal/43/b,long_tail,hard,5326/normal/43/b,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/43/b | 5326/normal/43/a | 5326/normal/40 | 5326/normal/37 | 5326/normal/32,45,255.16070000594482,,
q041,5326,On sekiz yaşından küçüklerin kapsam dışı bıçakları satın alması veya taşıması yasak mıdır; meslek ya da eğitim için kullanım bu kurala tabi midir?,5326/normal/43/c,long_tail,hard,5326/normal/43/c,5326,1,True,True,True,True,True,True,True,True,True,1,0.2,5326/normal/43/c | 5326/normal/43 | 5326/normal/11 | 4458/normal/167 | 5326/normal/41,57,544.7406000457704,,
q042,5326,Türkiye'de gerçekleşmeyen bir davranışa Kabahatler Kanunu'nun uygulanıp uygulanmayacağı hangi yer kuralına göre belirlenir?,5326/normal/6,ambiguity_resistant,hard,5326/normal/7,5326,,False,False,False,False,False,False,True,True,True,0,0.0,5326/normal/7 | 5326/normal/5 | 5326/normal/1 | 5326/normal/10 | 5326/normal/2,50,407.5546999811195,,
q043,5326,İşyeri kapatma veya ruhsat geri alma gibi süreli yaptırımlar Kabahatler Kanunu yürürlüğe girince kendiliğinden ortadan kalkmış sayılır mı?,5326/normal/19,ambiguity_resistant,hard,5326/normal/19,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/19 | 5326/gecici/2 | 5326/normal/13 | 5326/normal/21 | 5326/normal/30,55,411.3935999921523,,
q044,5326,"Mahkeme, alt ve üst sınırı kanunda yazılı bir idari para cezasına yapılan başvuruda ceza miktarını değiştirerek karar verebilir mi?",5326/normal/28,ambiguity_resistant,hard,5326/normal/28,5326,1,True,True,True,True,True,True,True,True,True,1,0.2,5326/normal/28 | 5326/normal/17 | 5326/normal/43/a | 5326/normal/27 | 4458/normal/233,45,408.83120003854856,,
q045,5326,"Sulh ceza mahkemesinin idari yaptırım başvurusunda verdiği son karara karşı hangi yola, ne kadar sürede gidilebilir?",5326/normal/29,ambiguity_resistant,hard,5326/normal/28,5326,3,False,True,True,False,True,True,True,True,True,0,0.0,5326/normal/28 | 5326/normal/27 | 5326/normal/29 | 5326/gecici/3 | 5326/normal/21,41,411.57499997643754,,
gk001,4458,"Gümrük uygulamasında ""geri verme"" ile ""kaldırma"" terimleri arasında ne fark vardır?",4458/normal/210,paraphrase,easy,4458/normal/210,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/210 | 4458/normal/215 | 4458/normal/216 | 4458/normal/214 | 4458/normal/168,35,406.1172000365332,,
gk002,4458,İhracat rejimi olarak adlandırılan gümrük rejimi hangi işlemleri kapsar?,4458/normal/150,paraphrase,easy,4458/normal/111,4458,2,False,True,True,False,True,True,True,True,True,0,0.0,4458/normal/111 | 4458/normal/150 | 4458/normal/123 | 4458/normal/136 | 4458/normal/135,27,408.98999996716157,,
gk003,4458,Türk Gümrük Tarifesi denildiğinde nelerden oluşan bir bütün kastedilir?,4458/normal/15,paraphrase,medium,4458/normal/25,4458,3,False,True,True,False,True,True,True,True,True,0,0.0,4458/normal/25 | 4458/normal/26 | 4458/normal/15 | 4458/normal/114 | 4458/normal/194,29,409.6271000453271,,
gk004,4458,Serbest dolaşımda bulunmayan bir eşyanın Türkiye Gümrük Bölgesinden tekrar yurt dışına gönderilmesi mümkün müdür?,4458/normal/163,paraphrase,easy,4458/normal/161,4458,,False,False,False,False,False,False,True,True,True,0,0.0,4458/normal/161 | 4458/normal/74 | 4458/normal/155 | 4458/normal/160 | 4458/normal/159,45,412.92620002059266,,
gk005,4458,Transit rejimi hangi nitelikteki eşyanın taşınmasında uygulanır?,4458/normal/84,paraphrase,medium,4458/normal/84,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/84 | 4458/normal/87 | 4458/normal/51 | 4458/normal/88 | 4458/normal/85,25,384.0053000021726,,
gk006,4458,Sınır ticareti yapılacak merkezlerin kurulmasına ve buralardaki usul ve esasların belirlenmesine kim yetkilidir?,4458/normal/172,paraphrase,easy,4458/normal/172,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/172 | 4458/normal/33 | 4458/normal/153 | 4458/normal/91 | 4458/normal/10/a,40,437.1985999750905,,
gk007,4458,Gümrüğe yazılı beyanda kullanılan beyanname hangi bilgileri içermeli ve imza bakımından hangi şartı taşımalıdır?,4458/normal/60,paraphrase,medium,4458/normal/60,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/60 | 4458/normal/71 | 4458/normal/62 | 4458/normal/65 | 4458/normal/61,43,435.697800014168,,
gk008,4458,Türkiye Gümrük Bölgesine getirilecek eşya için özet beyan ne zaman verilir?,4458/normal/35/a,paraphrase,easy,4458/normal/35/a,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/35/a | 4458/normal/165/a | 4458/normal/165/d | 4458/normal/35/b | 4458/normal/175,28,562.4784000101499,,
gk009,4458,Bir işletmeye yetkilendirilmiş yükümlü statüsü tanınabilmesi için hangi şartları taşıması gerekir?,4458/normal/5/a,exception_condition,medium,4458/normal/5/a,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/5/a | 4458/normal/227 | 4458/normal/228 | 4458/normal/95 | 4458/normal/229,39,250.38749998202547,,
gk010,4458,İthal edilen bir eşyanın alıcı ile satıcı arasında kararlaştırılan satış bedelinin gümrük kıymeti olarak kabul edilebilmesi için hangi koşulların birlikte gerçekleşmesi gerekir?,4458/normal/24,exception_condition,hard,4458/normal/24,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/24 | 4458/normal/28 | 4458/normal/27 | 4458/normal/25 | 4458/normal/236,66,443.4060999774374,,
gk011,4458,Bir gümrük idaresinden önceden alınmış bağlayıcı bir tarife bilgisi hangi durumlarda geçerliliğini kaybeder?,4458/normal/9,exception_condition,medium,4458/normal/9,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/9 | 4458/normal/191/a | 4458/normal/198 | 4458/normal/114 | 4458/normal/181,40,307.98750004032627,,
gk012,4458,"Yolcuların kendi kullanımına ayrılmış, ticari nitelik taşımayan kişisel eşyası, taklit ürünlere karşı uygulanan gümrükte alıkoyma tedbirine tabi tutulur mu?",4458/normal/57,exception_condition,medium,4458/normal/167,4458,,False,False,False,False,False,False,True,True,True,0,0.0,4458/normal/167 | 4458/normal/235 | 4458/normal/167 | 4458/normal/158 | 4458/normal/56,64,263.94480001181364,,
gk013,4458,Denizyoluyla gelen ve özet beyan kapsamında bulunan eşyaya bir kullanım belirlenmesi işlemi kaç gün içinde tamamlanmalıdır?,4458/normal/46,exception_condition,easy,4458/normal/46,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/46 | 4458/normal/50 | 4458/normal/165/d | 4458/normal/35/a | 4458/normal/130,46,290.9007999696769,,
gk014,4458,"Değeri belirli bir tutarın altında kalan eşya, serbest dolaşıma sokulurken gümrük vergisinden muaf tutulur mu?",4458/normal/167,exception_condition,easy,4458/normal/78,4458,,False,False,False,False,False,False,True,True,True,0,0.0,4458/normal/78 | 4458/normal/161 | 4458/normal/121 | 4458/normal/158 | 4458/normal/113,41,281.34799998952076,,
gk015,4458,Daha önce ihraç edilmiş bir eşya belirli bir süre içinde tekrar serbest dolaşıma girerse ithalat vergisinden muaf tutulabilir mi?,4458/normal/168,exception_condition,medium,4458/normal/170,4458,5,False,False,True,False,False,True,True,True,True,0,0.0,4458/normal/170 | 4458/normal/146 | 4458/normal/121 | 4458/normal/142 | 4458/normal/168,48,247.77479999465868,,
gk016,4458,"Sonradan gümrük yükümlülüğü doğan hallerde, eşyaya daha önce uygulanmayan bir tercihli tarife veya vergi muafiyeti yine de tanınabilir mi?",4458/normal/191/a,exception_condition,hard,4458/normal/191/a,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/191/a | 4458/normal/198 | 4458/normal/114 | 4458/normal/82 | 4458/normal/126,54,268.63430003868416,,
gk017,4458,İthal edilen bir eşyanın gümrük kıymeti belirlenirken esas alınan satış bedeline hangi unsurlar ilave edilir ve bu satış bedelinin kıymet tespitinde esas alınabilmesi için ayrıca hangi şartlar aranır?,4458/normal/24 | 4458/normal/27,multi_part,hard,4458/normal/24,4458,1,True,True,True,False,True,True,True,True,True,0,0.0,4458/normal/24 | 4458/normal/25 | 4458/normal/27 | 4458/normal/26 | 4458/normal/28,76,278.84159999666736,,
gk018,4458,Türkiye'ye gelecek eşya için özet beyan ne zaman verilir ve bu beyanı vermekle kim yükümlü tutulur?,4458/normal/35/a | 4458/normal/35/b,multi_part,medium,4458/normal/35/a,4458,1,True,True,True,False,True,True,True,True,True,0,0.0,4458/normal/35/a | 4458/normal/165/d | 4458/normal/35/b | 4458/normal/56 | 4458/normal/62,38,246.99729995336384,,
gk019,4458,İthalat vergilerine tabi eşyanın serbest dolaşıma girişi veya kısmi muafiyet suretiyle geçici ithali halinde gümrük yükümlülüğü ne zaman başlar ve gümrük yükümlülüğü hangi hallerde sona erer?,4458/normal/181 | 4458/normal/208,multi_part,hard,4458/normal/133,4458,,False,False,False,False,False,False,True,True,True,0,0.0,4458/normal/133 | 4458/normal/194 | 4458/normal/135 | 4458/normal/141 | 4458/normal/168,76,273.29799998551607,,
gk020,4458,"Beyan edilen kıymetin gerçek kıymetten düşük çıkması ile Kanunda ayrıca ceza öngörülmemiş bir düzenlemeye aykırı davranılması, para cezası bakımından nasıl farklı sonuçlar doğurur?",4458/normal/234 | 4458/normal/241,multi_part,hard,5326/normal/28,5326,,False,False,False,False,False,False,False,False,False,5,1.0,5326/normal/28 | 5326/normal/43/a | 5326/normal/15 | 5326/normal/32 | 5326/normal/41,72,239.11890003364533,,
gk021,4458,"Türkiye Gümrük Bölgesini terk edecek eşya için hangi hallerde gümrük beyannamesi, hangi hallerde özet beyan verilir?",4458/normal/165/b | 4458/normal/165/c,multi_part,medium,4458/normal/165/a,4458,3,False,True,True,False,False,True,True,True,True,0,0.0,4458/normal/165/a | 4458/normal/35/a | 4458/normal/165/b | 4458/normal/165/c | 4458/normal/62,45,242.27210000390187,,
gk022,4458,Yetkilendirilmiş yükümlü statüsü kazanmak için hangi şartlar aranır ve Müsteşarlık bu yükümlüleri basitleştirilmiş uygulamalardan ne kadar süreyle yararlandırmaya yetkilidir?,4458/islenemeyen_hukum/1 | 4458/normal/5/a,multi_part,hard,4458/normal/5/a,4458,1,True,True,True,False,False,False,True,True,True,0,0.0,4458/normal/5/a | 4458/normal/227 | 4458/gecici/6 | 4458/normal/228 | 4458/gecici/5,70,250.9870000067167,,
gk023,4458,"Bir kara taşıtına, gümrük mevzuatına aykırılık nedeniyle mülkiyetin kamuya geçirilmesi kararı verilmişse, bu taşıt belirli bir tutar ödenerek sahibine iade edilebilir mi?",4458/gecici/9,long_tail,medium,4458/normal/180,4458,2,False,True,True,False,True,True,True,True,True,0,0.0,4458/normal/180 | 4458/gecici/9 | 4458/normal/235 | 4458/normal/45 | 4458/gecici/10,70,252.03779997536913,,
gk024,4458,"Türkiye'deki yabancı devlet misyon şeflerinin verdiği garanti mektupları, gümrükte teminat olarak kabul edilebilir mi?",4458/normal/202,long_tail,medium,4458/normal/202,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/normal/202 | 4458/normal/205 | 4458/normal/60 | 4458/normal/85 | 4458/normal/225,43,271.07890002662316,,
gk025,4458,"Kanunun yürürlüğe girmesinden önce gümrük komisyoncu yardımcısı karnesine sahip olan kişiler, yeni düzenlemeye göre hangi belgeyi almaya hak kazanabilir?",4458/gecici/5,long_tail,medium,4458/normal/230,4458,4,False,False,True,False,False,True,True,True,True,0,0.0,4458/normal/230 | 4458/normal/41 | 4458/gecici/2 | 4458/gecici/5 | 4458/normal/76,58,266.0852000117302,,
gk026,4458,Mesleki kurallara aykırı davranan bir gümrük müşavirine hangi tür disiplin cezaları verilebilir?,4458/gecici/6,long_tail,easy,4458/gecici/6,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/gecici/6 | 4458/gecici/6 | 4458/normal/230 | 4458/normal/227 | 4458/normal/233,38,249.51419996796176,,
gk027,4458,"Dahilde işleme rejiminde, eşyanın önceden vergi ödenmeden geçici olarak ithal edilip teminata bağlandığı sistem ile, verginin önce ödenip eşyanın işlem görmüş ürün olarak ihracından sonra geri verildiği sistem birbirinden nasıl ayrılır?",4458/normal/108,ambiguity_resistant,hard,4458/normal/133,4458,3,False,True,True,False,True,True,True,True,True,0,0.0,4458/normal/133 | 4458/normal/119 | 4458/normal/108 | 4458/normal/194 | 4458/normal/114,83,265.5347000109032,,
gk028,4458,"Kanunda ayrıca özel bir ceza öngörülmemiş olmakla birlikte, açıkça belirtilmiş bir düzenlemeye aykırı davranılması hâlinde ne tür bir para cezası uygulanır?",4458/normal/241,ambiguity_resistant,medium,5326/normal/43/a,5326,,False,False,False,False,False,False,False,False,False,5,1.0,5326/normal/43/a | 5326/normal/32 | 5326/normal/17 | 5326/normal/15 | 5326/normal/28,63,264.1630999860354,,
gk029,4458,Kanunun yürürlüğe girdiği tarihte gümrük sundurmalarında veya eşya konulmasına izin verilen yerlerde bulunan eşyanın bekleme süreleri hangi hükümlere tabidir?,4458/gecici/1,ambiguity_resistant,medium,4458/gecici/1,4458,1,True,True,True,True,True,True,True,True,True,0,0.0,4458/gecici/1 | 4458/normal/50 | 4458/normal/46 | 4458/normal/70 | 4458/normal/69,63,281.49179997853935,,
