"id","question","expected_articles","expert_validated","retrieved_articles","retrieved_chunk_ids","first_expected_rank","expected_article_present","status","cited_articles","expected_article_cited","citation_count","citation_labels_structurally_valid","requires_priority_review","answer","retrieval_latency_ms","generation_latency_ms","pipeline_latency_ms","embedding_tokens","generation_input_tokens","generation_output_tokens","generation_total_tokens","error_type","error_message_safe","legal_correctness","completeness","groundedness","citation_relevance","sufficiency_decision","unsafe_overclaim","reviewer_notes","all_expected_articles_retrieved","all_expected_articles_cited"
"q020","Kişinin yanılmasıyla ilgili ceza hukuku kuralları her kabahatte uygulanır mı?","10","False","5 | 12 | 28 | 10 | 20","5326-madde-5-chunk-001 | 5326-madde-12-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-10-chunk-001 | 5326-madde-20-chunk-001","4","True","YETERLI","10","True","1","True","False","Hayır. Türk Ceza Kanununun hata hallerine ilişkin hükümleri, kabahatler bakımından yalnızca kasten işlenen kabahatlerde uygulanır. [KAYNAK 4]","215.22389999972802","1659.1733000004751","1887.3199999998178","29","2611","58","2669","","","","","","","","","","True","True"
"q021","Bir eşyaya kabahat nedeniyle devletçe el konulup mülkiyetinin alınabilmesi için mutlaka faile ayrıca ceza verilmiş olması gerekir mi?","18","False","18 | 14 | 27 | 41 | 15","5326-madde-18-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-15-chunk-001","1","True","YETERLI","18","True","1","True","False","Hayır. Eşyanın mülkiyetinin kamuya geçirilmesine karar verilebilmesi için fail hakkında idarî para cezası veya başka bir idarî yaptırım kararı verilmiş olması şart değildir. Ancak bu karara, kabahatin konusunu oluşturan ya da işlenmesiyle elde edilen eşya bakımından, kanunda açık hüküm bulunan hâllerde karar verilebilir. [KAYNAK 1]","211.01960000032705","2754.8385000000053","2981.458599999314","54","3086","109","3195","","","","","","","","","","True","True"
"q022","Kanun cezayı verecek görevliyi açıkça söylemiyorsa idari yaptırım kararını kim verir?","22","False","25 | 26 | 22 | 27 | 43/A","5326-madde-25-chunk-001 | 5326-madde-26-chunk-001 | 5326-madde-22-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-43-a-chunk-001","3","True","YETERLI","22","True","1","True","False","Kanunda açık hüküm bulunmayan hâllerde, idarî yaptırım kararını ilgili kamu kurum ve kuruluşunun en üst amiri verir. [KAYNAK 3]","214.8164000000179","2628.578599999855","2854.2540999997073","35","2989","54","3043","","","","","","","","","","True","True"
"q023","İdari yaptırım kararı kişiye bildirilirken itiraz edebileceği yer ve süre de yazılmak zorunda mı?","26","False","29 | 27 | 26 | 25 | 28","5326-madde-29-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-26-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001","3","True","YETERLI","26","True","1","True","False","Evet. İdarî yaptırım kararı kişiye tebliğ edilirken, tebligat metninde karara karşı başvurulabilecek kanun yolu, başvuru mercii ve başvuru süresi açıkça belirtilmek zorundadır. [KAYNAK 3]","192.7637999997387","1796.949399999903","2000.4395999994813","40","3185","79","3264","","","","","","","","","","True","True"
"q024","Kabahate teşebbüs hangi istisnai durumda cezalandırılabilir ve bu durumda hangi hükümler uygulanır?","13","False","13 | 14 | 43/A | 41 | 37","5326-madde-13-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-37-chunk-001","1","True","YETERLI","13","True","1","True","False","Kabahate teşebbüs kural olarak cezalandırılmaz. Ancak, ilgili kanunda teşebbüsün de cezalandırılabileceğine ilişkin hüküm bulunması istisnasında cezalandırılabilir. Bu durumda Türk Ceza Kanununun suça teşebbüs ve gönüllü vazgeçmeye ilişkin hükümleri kabahatler bakımından da uygulanır. [KAYNAK 1]","218.4251000007862","2876.5082999998413","3113.6200999999346","41","2694","102","2796","","","","","","","","","","True","True"
"q025","Tek bir davranış hem suç hem kabahat olarak düzenlenmişse hangi yaptırım uygulanır; suçtan ceza verilemezse ne olur?","15","False","43/A | 15 | 27 | 28 | 14","5326-madde-43-a-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-14-chunk-001","2","True","YETERLI","15","True","1","True","False","Tek bir fiil hem kabahat hem suç olarak tanımlanmışsa, yalnız suç nedeniyle yaptırım uygulanır. Suç nedeniyle yaptırım uygulanamayan hâllerde ise kabahat nedeniyle yaptırım uygulanır. [KAYNAK 2]","192.9150000005393","2684.938900000816","2893.896499999755","43","3546","68","3614","","","","","","","","","","True","True"
"q026","İdari para cezası ödeme süresinde ödenirse indirim uygulanır mı ve ödeme itiraz hakkını ortadan kaldırır mı?","17","False","17 | 28 | 27 | 29 | 21","5326-madde-17-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-29-chunk-001 | 5326-madde-21-chunk-001","1","True","YETERLI","17 | 27","True","2","True","False","İdari para cezası, ödeme süresi içinde ödenirse cezada %25 indirim uygulanır. Kanunda ödeme süresi düzenlenmemiş cezalar ise tebliğden itibaren bir ay içinde ödenir. [KAYNAK 1]

Ödeme yapılması, karara karşı kanun yoluna başvurma hakkını ortadan kaldırmaz. İdari para cezasına karşı kural olarak tebliğ veya tefhimden itibaren en geç 15 gün içinde sulh ceza mahkemesine başvurulabilir. [KAYNAK 1] [KAYNAK 3]","244.528100000025","2752.086899999995","3012.7625000004628","43","3914","150","4064","","","","","","","","","","True","True"
"q027","Nispi idari para cezasını gerektiren bir kabahatte soruşturma zamanaşımı kaç yıldır?","20","False","20 | 3 | 21 | 28 | 27","5326-madde-20-chunk-001 | 5326-gecici-madde-3-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001","1","True","YETERLI","20","True","1","True","False","Nispi idarî para cezasını gerektiren kabahatlerde soruşturma zamanaşımı süresi sekiz yıldır. [KAYNAK 1]","247.79519999992772","1879.7389999999723","2140.8810999992056","32","3350","53","3403","","","","","","","","","","True","True"
"q028","Mücbir sebeple on beş günlük başvuru süresi kaçırılırsa ne kadar sürede başvurulabilir ve başvuru kesinleşmeyi durdurur mu?","27","False","27 | 28 | 21 | 30 | 29","5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-30-chunk-001 | 5326-madde-29-chunk-001","1","True","YETERLI","27","True","1","True","False","Mücbir sebep nedeniyle on beş günlük süre geçirilmişse, mücbir sebebin ortadan kalktığı tarihten itibaren en geç yedi gün içinde başvuru yapılabilir. [KAYNAK 1]

Bu başvuru idarî yaptırım kararının kesinleşmesini engellemez; ancak mahkeme yerine getirmeyi durdurabilir. [KAYNAK 1]","206.80439999978262","2994.471699999849","3216.448700000001","49","3074","104","3178","","","","","","","","","","True","True"
"q029","Kanun yolu başvurusundan vazgeçen kişi aynı konuda yeniden başvurabilir mi?","30","False","30 | 29 | 31 | 27 | 3","5326-madde-30-chunk-001 | 5326-madde-29-chunk-001 | 5326-madde-31-chunk-001 | 5326-madde-27-chunk-001 | 5326-gecici-madde-3-chunk-001","1","True","YETERLI","30","True","1","True","False","Hayır. Kanun yolu başvurusundan vazgeçilmesi hâlinde, aynı konuda yeniden başvuruda bulunulamaz. Vazgeçme, bu konuda karar verilinceye kadar mümkündür. [KAYNAK 1]","231.2337999992451","2408.5345000003144","2652.711400000044","30","2147","67","2214","","","","","","","","","","True","True"
"q030","Kamu binasında sigara içme yasağı, sigara içmek için ayrılmış bölümde de uygulanır mı?","39","False","39 | 43/C | 42 | 41 | 43","5326-madde-39-chunk-001 | 5326-madde-43-c-chunk-001 | 5326-madde-42-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-43-chunk-001","1","True","YETERLI","39","True","1","True","False","Hayır. Kamu hizmet binalarının kapalı alanlarında tütün mamulü tüketimine ilişkin idarî para cezası hükmü, tütün mamulü tüketilmesine tahsis edilen alanlarda uygulanmaz. [KAYNAK 1]","196.5565999998944","2646.191899999394","2854.2106000004424","35","2963","71","3034","","","","","","","","","","True","True"
"q031","Çevreyi kirleten kişi kirliliği hemen temizlerse yine de idari para cezası verilmesi zorunlu mudur?","41","False","41 | 36 | 43/A | 32 | 33","5326-madde-41-chunk-001 | 5326-madde-36-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-32-chunk-001 | 5326-madde-33-chunk-001","1","True","YETERLI","41","True","1","True","False","Hayır. Bu kabahatler nedeniyle oluşan kirlilik kişinin derhal gidermesi hâlinde idari para cezasına karar verilmeyebilir. Bu nedenle, derhal temizlik yapılmış olması ceza verilmesini zorunlu kılmaz; ceza verilmemesi mümkündür. [KAYNAK 1]","198.79260000016075","2290.6794999998965","2505.250999999589","39","2731","86","2817","","","","","","","","","","True","True"
"q032","İdari yaptırım kararını vermeye kim yetkilidir ve karar tutanağında kişi ile fiil hakkında hangi temel bilgiler bulunmalıdır?","22 | 25","False","25 | 27 | 26 | 28 | 24","5326-madde-25-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-26-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-24-chunk-001","1","True","YETERSIZ","24 | 25","True","2","True","True","Sağlanan kaynaklar, idarî yaptırım kararını verme yetkisinin genel olarak hangi kişi veya makamda olduğunu tam biçimde düzenlememektedir. Ancak kovuşturma konusu fiilin kabahat olduğunun anlaşılması hâlinde idarî yaptırım kararını mahkeme verir. [KAYNAK 5]

Karar tutanağında; yaptırım uygulanan kişinin kimliği ve adresi, yaptırımı gerektiren kabahat fiili, fiilin işlendiğini ispata yarayan bütün deliller, karar tarihi ve kararı veren kamu görevlilerinin kimliği açıkça yer almalıdır. Ayrıca kabahati oluşturan fiil; işlendiği yer ve zaman gösterilerek açıklanmalıdır. [KAYNAK 1]","229.46050000064133","4057.626299999356","4298.991300000125","46","3023","218","3241","","","","","","","","","","False","False"
"q033","Bir fiilin soruşturma sırasında veya kovuşturma sırasında kabahat olduğu anlaşılırsa idari yaptırım kararını sırasıyla kim verir?","23 | 24","False","27 | 15 | 20 | 24 | 28","5326-madde-27-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-24-chunk-001 | 5326-madde-28-chunk-001","4","True","YETERSIZ","24","True","1","True","True","Kovuşturma konusu fiilin kabahat oluşturduğunun anlaşılması hâlinde idarî yaptırım kararını mahkeme verir. [KAYNAK 4] Soruşturma sırasında fiilin kabahat olduğunun anlaşılması hâlinde kararı kimin vereceği, sağlanan kaynaklarda açıkça düzenlenmemiştir.","192.92380000024423","2325.119000000086","2538.166199999978","51","3241","89","3330","","","","","","","","","","False","False"
"q034","İdari yaptırım kararı nasıl tebliğ edilir ve bu karara karşı olağan başvurunun mercii ile süresi nedir?","26 | 27","False","26 | 27 | 28 | 29 | 25","5326-madde-26-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-29-chunk-001 | 5326-madde-25-chunk-001","1","True","YETERLI","26 | 27","True","2","True","False","İdarî yaptırım kararı, ilgili kişiye Tebligat Kanunu hükümlerine göre tebliğ edilir. Tebligat metninde başvurulabilecek kanun yolu, mercii ve sürenin açıkça belirtilmesi gerekir. Karar kişinin huzurunda verilmişse bu husus tutanağa yazılır; kişiye başvuru yolu, mercii ve süresi hakkında bilgi verilir ve tutanak örneği kendisine verilir. Tüzel kişiler hakkındaki kararlar her hâlde tüzel kişiye tebliğ edilir. Belirli protokoller ve teknik altyapı kapsamında elektronik tebligat da yapılabilir; bu tebligat, elektronik adrese ulaştığı tarihi izleyen beşinci günün sonunda yapılmış sayılır. [KAYNAK 1]

İdarî para cezası veya mülkiyetin kamuya geçirilmesine ilişkin idarî yaptırım kararına karşı, tebliğ veya tefhimden itibaren en geç 15 gün içinde sulh ceza mahkemesine başvurulur. Süresinde başvuru yapılmazsa karar kesinleşir. [KAYNAK 2]","742.5163999996585","4690.14259999949","5451.645500000268","42","3186","262","3448","","","","","","","","","","True","True"
