id,question,expected_sources,case_type,difficulty,source_verified,expert_validated,question_clear,question_natural,expected_sources_correct,answerable_from_current_corpus,ambiguous,review_status,reviewer_notes
gk020,"Beyan edilen kıymetin gerçek kıymetten düşük çıkması ile Kanunda ayrıca ceza öngörülmemiş bir düzenlemeye aykırı davranılması, para cezası bakımından nasıl farklı sonuçlar doğurur?",4458/normal/234 | 4458/normal/241,multi_part,hard,True,False,,,,,,pending,
gk021,"Türkiye Gümrük Bölgesini terk edecek eşya için hangi hallerde gümrük beyannamesi, hangi hallerde özet beyan verilir?",4458/normal/165/B | 4458/normal/165/C,multi_part,medium,True,False,,,,,,pending,
gk022,Yetkilendirilmiş yükümlü statüsü kazanmak için hangi şartlar aranır ve Müsteşarlık bu yükümlüleri basitleştirilmiş uygulamalardan ne kadar süreyle yararlandırmaya yetkilidir?,4458/normal/5/A | 4458/islenemeyen_hukum/1,multi_part,hard,True,False,,,,,,pending,
gk023,"Bir kara taşıtına, gümrük mevzuatına aykırılık nedeniyle mülkiyetin kamuya geçirilmesi kararı verilmişse, bu taşıt belirli bir tutar ödenerek sahibine iade edilebilir mi?",4458/gecici/9,long_tail,medium,True,False,,,,,,pending,
gk024,"Türkiye'deki yabancı devlet misyon şeflerinin verdiği garanti mektupları, gümrükte teminat olarak kabul edilebilir mi?",4458/normal/202,long_tail,medium,True,False,,,,,,pending,
gk025,"Kanunun yürürlüğe girmesinden önce gümrük komisyoncu yardımcısı karnesine sahip olan kişiler, yeni düzenlemeye göre hangi belgeyi almaya hak kazanabilir?",4458/gecici/5,long_tail,medium,True,False,,,,,,pending,
gk026,Mesleki kurallara aykırı davranan bir gümrük müşavirine hangi tür disiplin cezaları verilebilir?,4458/gecici/6,long_tail,easy,True,False,,,,,,pending,
gk027,"Dahilde işleme rejiminde, eşyanın önceden vergi ödenmeden geçici olarak ithal edilip teminata bağlandığı sistem ile, verginin önce ödenip eşyanın işlem görmüş ürün olarak ihracından sonra geri verildiği sistem birbirinden nasıl ayrılır?",4458/normal/108,ambiguity_resistant,hard,True,False,,,,,,pending,
gk028,"Kanunda ayrıca özel bir ceza öngörülmemiş olmakla birlikte, açıkça belirtilmiş bir düzenlemeye aykırı davranılması hâlinde ne tür bir para cezası uygulanır?",4458/normal/241,ambiguity_resistant,medium,True,False,,,,,,pending,
gk029,Kanunun yürürlüğe girdiği tarihte gümrük sundurmalarında veya eşya konulmasına izin verilen yerlerde bulunan eşyanın bekleme süreleri hangi hükümlere tabidir?,4458/gecici/1,ambiguity_resistant,medium,True,False,,,,,,pending,
gk030,"Bir gümrük idaresinden alınan bağlayıcı tarife bilgisi, o idareyi hangi kapsamda ve ne kadar süreyle bağlar?",4458/normal/9,ambiguity_resistant,hard,True,False,,,,,,pending,
