id,question,true_document,prediction,status,input_tokens,output_tokens,total_tokens
q001,Kabahat nedir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,201,49,250
q015,Yetkili makamın hukuka uygun olarak verdiği emre aykırı davranmanın yaptırımı nedir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,220,94,314
q016,Kabahatler Kanunu'nun genel kuralları başka kanunlardaki idari para cezalarına hangi durumda uygulanır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,224,49,273
q017,"Bir kabahat, davranışın yapıldığı anda mı yoksa sonucu ortaya çıktığında mı işlenmiş sayılır?",5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,220,49,269
q018,Bir şeyi yapmamak hangi şartla kabahat sayılabilir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,210,49,259
q019,Şirket çalışanının işi sırasında işlediği kabahat yüzünden şirket sahibine de yaptırım uygulanabilir mi?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,219,49,268
q020,Kişinin yanılmasıyla ilgili ceza hukuku kuralları her kabahatte uygulanır mı?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,218,49,267
q021,Bir eşyaya kabahat nedeniyle devletçe el konulup mülkiyetinin alınabilmesi için mutlaka faile ayrıca ceza verilmiş olması gerekir mi?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,231,120,351
q022,Kanun cezayı verecek görevliyi açıkça söylemiyorsa idari yaptırım kararını kim verir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,219,82,301
q023,İdari yaptırım kararı kişiye bildirilirken itiraz edebileceği yer ve süre de yazılmak zorunda mı?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,225,49,274
q024,Kabahate teşebbüs hangi istisnai durumda cezalandırılabilir ve bu durumda hangi hükümler uygulanır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,221,49,270
q025,Tek bir davranış hem suç hem kabahat olarak düzenlenmişse hangi yaptırım uygulanır; suçtan ceza verilemezse ne olur?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,227,81,308
q026,İdari para cezası ödeme süresinde ödenirse indirim uygulanır mı ve ödeme itiraz hakkını ortadan kaldırır mı?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,227,49,276
q027,Nispi idari para cezasını gerektiren bir kabahatte soruşturma zamanaşımı kaç yıldır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,223,83,306
q028,Mücbir sebeple on beş günlük başvuru süresi kaçırılırsa ne kadar sürede başvurulabilir ve başvuru kesinleşmeyi durdurur mu?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,236,299,535
q029,Kanun yolu başvurusundan vazgeçen kişi aynı konuda yeniden başvurabilir mi?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,216,171,387
q030,"Kamu binasında sigara içme yasağı, sigara içmek için ayrılmış bölümde de uygulanır mı?",5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,221,123,344
q031,Çevreyi kirleten kişi kirliliği hemen temizlerse yine de idari para cezası verilmesi zorunlu mudur?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,227,49,276
q032,İdari yaptırım kararını vermeye kim yetkilidir ve karar tutanağında kişi ile fiil hakkında hangi temel bilgiler bulunmalıdır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,226,49,275
q033,Bir fiilin soruşturma sırasında veya kovuşturma sırasında kabahat olduğu anlaşılırsa idari yaptırım kararını sırasıyla kim verir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,227,49,276
q034,İdari yaptırım kararı nasıl tebliğ edilir ve bu karara karşı olağan başvurunun mercii ile süresi nedir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,226,108,334
q035,İdari para cezasını süresinde ödeyen kişi indirimden yararlanıp yine de kanun yoluna başvurabilir mi ve bu başvuru harca tabi midir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,237,49,286
q036,Eşyanın mülkiyetinin kamuya geçirilmesi kararı ne zaman yerine getirilir ve bu karar için yerine getirme zamanaşımı ne kadardır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,232,164,396
q037,Dilencilik ve kumar kabahatlerinde gelire ne olur ve mülkiyetin kamuya geçirilmesine hangi makamlar karar verir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,225,49,274
q038,112'yi kasıtlı biçimde meşgul eden veya asılsız ihbarda bulunan kişi bir yıl içinde aynı fiili tekrarlarsa ceza nasıl uygulanır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,234,105,339
q039,Bir şirket yararına rüşvet veya dolandırıcılık işlenirse şirkete ayrıca idari para cezasını hangi mahkeme verebilir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,228,203,431
q040,Bir banka kendisine verilen paranın sahte olduğunu fark ettiği halde bildirim yapmazsa tüzel kişiye kim idari para cezası verebilir?,5326_kabahatler_kanunu,5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu | 4458_gumruk_kanunu,success,228,404,632
q041,On sekiz yaşından küçüklerin kapsam dışı bıçakları satın alması veya taşıması yasak mıdır; meslek ya da eğitim için kullanım bu kurala tabi midir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,235,241,476
q042,Türkiye'de gerçekleşmeyen bir davranışa Kabahatler Kanunu'nun uygulanıp uygulanmayacağı hangi yer kuralına göre belirlenir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,228,49,277
q043,İşyeri kapatma veya ruhsat geri alma gibi süreli yaptırımlar Kabahatler Kanunu yürürlüğe girince kendiliğinden ortadan kalkmış sayılır mı?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,234,49,283
q044,"Mahkeme, alt ve üst sınırı kanunda yazılı bir idari para cezasına yapılan başvuruda ceza miktarını değiştirerek karar verebilir mi?",5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,233,49,282
q045,"Sulh ceza mahkemesinin idari yaptırım başvurusunda verdiği son karara karşı hangi yola, ne kadar sürede gidilebilir?",5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,229,173,402
gk001,"Gümrük uygulamasında ""geri verme"" ile ""kaldırma"" terimleri arasında ne fark vardır?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,221,71,292
gk002,İhracat rejimi olarak adlandırılan gümrük rejimi hangi işlemleri kapsar?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,218,49,267
gk003,Türk Gümrük Tarifesi denildiğinde nelerden oluşan bir bütün kastedilir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,218,49,267
gk004,Serbest dolaşımda bulunmayan bir eşyanın Türkiye Gümrük Bölgesinden tekrar yurt dışına gönderilmesi mümkün müdür?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,229,49,278
gk005,Transit rejimi hangi nitelikteki eşyanın taşınmasında uygulanır?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,214,49,263
gk006,Sınır ticareti yapılacak merkezlerin kurulmasına ve buralardaki usul ve esasların belirlenmesine kim yetkilidir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,226,49,275
gk007,Gümrüğe yazılı beyanda kullanılan beyanname hangi bilgileri içermeli ve imza bakımından hangi şartı taşımalıdır?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,226,49,275
gk008,Türkiye Gümrük Bölgesine getirilecek eşya için özet beyan ne zaman verilir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,218,72,290
gk009,Bir işletmeye yetkilendirilmiş yükümlü statüsü tanınabilmesi için hangi şartları taşıması gerekir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,221,49,270
gk010,İthal edilen bir eşyanın alıcı ile satıcı arasında kararlaştırılan satış bedelinin gümrük kıymeti olarak kabul edilebilmesi için hangi koşulların birlikte gerçekleşmesi gerekir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,240,100,340
gk011,Bir gümrük idaresinden önceden alınmış bağlayıcı bir tarife bilgisi hangi durumlarda geçerliliğini kaybeder?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,228,49,277
gk012,"Yolcuların kendi kullanımına ayrılmış, ticari nitelik taşımayan kişisel eşyası, taklit ürünlere karşı uygulanan gümrükte alıkoyma tedbirine tabi tutulur mu?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,244,85,329
gk013,Denizyoluyla gelen ve özet beyan kapsamında bulunan eşyaya bir kullanım belirlenmesi işlemi kaç gün içinde tamamlanmalıdır?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,225,83,308
gk014,"Değeri belirli bir tutarın altında kalan eşya, serbest dolaşıma sokulurken gümrük vergisinden muaf tutulur mu?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,230,49,279
gk015,Daha önce ihraç edilmiş bir eşya belirli bir süre içinde tekrar serbest dolaşıma girerse ithalat vergisinden muaf tutulabilir mi?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,230,109,339
gk016,"Sonradan gümrük yükümlülüğü doğan hallerde, eşyaya daha önce uygulanmayan bir tercihli tarife veya vergi muafiyeti yine de tanınabilir mi?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,240,49,289
gk017,İthal edilen bir eşyanın gümrük kıymeti belirlenirken esas alınan satış bedeline hangi unsurlar ilave edilir ve bu satış bedelinin kıymet tespitinde esas alınabilmesi için ayrıca hangi şartlar aranır?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,249,71,320
gk018,Türkiye'ye gelecek eşya için özet beyan ne zaman verilir ve bu beyanı vermekle kim yükümlü tutulur?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,227,49,276
gk019,İthalat vergilerine tabi eşyanın serbest dolaşıma girişi veya kısmi muafiyet suretiyle geçici ithali halinde gümrük yükümlülüğü ne zaman başlar ve gümrük yükümlülüğü hangi hallerde sona erer?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,257,77,334
gk020,"Beyan edilen kıymetin gerçek kıymetten düşük çıkması ile Kanunda ayrıca ceza öngörülmemiş bir düzenlemeye aykırı davranılması, para cezası bakımından nasıl farklı sonuçlar doğurur?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,245,102,347
gk021,"Türkiye Gümrük Bölgesini terk edecek eşya için hangi hallerde gümrük beyannamesi, hangi hallerde özet beyan verilir?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,234,76,310
gk022,Yetkilendirilmiş yükümlü statüsü kazanmak için hangi şartlar aranır ve Müsteşarlık bu yükümlüleri basitleştirilmiş uygulamalardan ne kadar süreyle yararlandırmaya yetkilidir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,245,49,294
gk023,"Bir kara taşıtına, gümrük mevzuatına aykırılık nedeniyle mülkiyetin kamuya geçirilmesi kararı verilmişse, bu taşıt belirli bir tutar ödenerek sahibine iade edilebilir mi?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,249,222,471
gk024,"Türkiye'deki yabancı devlet misyon şeflerinin verdiği garanti mektupları, gümrükte teminat olarak kabul edilebilir mi?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,228,49,277
gk025,"Kanunun yürürlüğe girmesinden önce gümrük komisyoncu yardımcısı karnesine sahip olan kişiler, yeni düzenlemeye göre hangi belgeyi almaya hak kazanabilir?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,237,96,333
gk026,Mesleki kurallara aykırı davranan bir gümrük müşavirine hangi tür disiplin cezaları verilebilir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,224,83,307
gk027,"Dahilde işleme rejiminde, eşyanın önceden vergi ödenmeden geçici olarak ithal edilip teminata bağlandığı sistem ile, verginin önce ödenip eşyanın işlem görmüş ürün olarak ihracından sonra geri verildiği sistem birbirinden nasıl ayrılır?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,262,49,311
gk028,"Kanunda ayrıca özel bir ceza öngörülmemiş olmakla birlikte, açıkça belirtilmiş bir düzenlemeye aykırı davranılması hâlinde ne tür bir para cezası uygulanır?",4458_gumruk_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,239,133,372
gk029,Kanunun yürürlüğe girdiği tarihte gümrük sundurmalarında veya eşya konulmasına izin verilen yerlerde bulunan eşyanın bekleme süreleri hangi hükümlere tabidir?,4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,238,81,319
gk030,"Bir gümrük idaresinden alınan bağlayıcı tarife bilgisi, o idareyi hangi kapsamda ve ne kadar süreyle bağlar?",4458_gumruk_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,229,84,313
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,227,49,276
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,237,49,286
k5607-003,Eşyanın gümrük işlemlerine tabi tutulmadan ülkeye sokulması hangi hapis ve adlî para cezasını gerektirir; eşya gümrük kapıları dışından sokulursa ceza nasıl değişir?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,249,76,325
k5607-004,"İhracat gerçekleşmediği hâlde gerçekleşmiş gibi gösterilmesi veya ihraç malının cins, miktar, evsaf ya da fiyatının değiştirilmesi hangi yaptırımla karşılanır; beyandaki fark yüzde onu aşmıyorsa hangi işlem uygulanır?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,257,135,392
k5607-005,Ulusal marker seviyenin altında olan veya hiç marker içermeyen akaryakıt bakımından hangi ticari fiiller suç kapsamındadır ve hangi yaptırım öngörülür?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,234,99,333
k5607-006,Kaçakçılık suçunun teşebbüs aşamasında kalması hâlinde 5607 sayılı Kanun bakımından nasıl cezalandırma yapılır?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu | 4458_gumruk_kanunu,success,231,49,280
k5607-007,Kaçakçılık suçunun bir örgütün faaliyeti çerçevesinde veya üç ya da daha fazla kişi tarafından birlikte işlenmesi hâlinde cezalar nasıl artırılır?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu | 4458_gumruk_kanunu,success,235,49,284
k5607-008,"Etkin pişmanlık gösteren kişi, resmî makamlar haber almadan önce hangi bilgileri verirse ve bu bilgi neyi sağlarsa cezalandırılmaz?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,233,153,386
k5607-009,"Yolcunun üzerinde, eşyası arasında veya taşıma aracında beyanına aykırı olarak çıkan eşya hangi iki durumda 3 üncü madde hükümlerine tabi olur?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,237,102,339
k5607-010,İzinsiz olarak gümrük bölgesine girip sahile veya başka bir gemiye yanaşan geminin kaptanı hangi ek bulgular varsa kaçakçılık hükümlerine göre cezalandırılır?,5607_kacakcilikla_mucadele_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,242,121,363
k5607-011,"Kaçak eşya, silah, mühimmat, patlayıcı veya uyuşturucu bulunduğundan şüphe edilen kap, ambalaj, taşıma aracı ve kişiler üzerindeki arama ve elkoyma hangi kanuna göre yapılır?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,249,84,333
k5607-012,Kaçakçılık suçlarında kullanılan taşıta hangi şartlarda elkonulur ve elkonulan taşıtın müsadere edilebilmesi bakımından hangi bağlantılı durumlar önem taşır?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,237,84,321
k5607-013,Kaçak şüphesiyle elkonulan eşya ile alıkonulan taşıtların gümrük idaresine tesliminde hangi ayırt edici bilgileri içeren tutanak düzenlenir?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,242,82,324
k5607-014,Yabancı ülkeden gelen yasak eşya yükleme veya taşıma belgelerinde gösterilerek gümrüğe getirilmişse hangi güvenlik koşulları altında nereye gönderilebilir?,5607_kacakcilikla_mucadele_kanunu,4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu | 5326_kabahatler_kanunu,success,237,159,396
k5607-015,Kaçak eşya taşımasında bilerek kullanılan bir taşıtın müsadere edilebilmesi için 5607 sayılı Kanunda öngörülen koşullardan hangileri vardır?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,237,75,312
k5607-016,"Müsadere yaptırımının uygulanabileceği eşyanın tasfiyesi bakımından, kaçak akaryakıt dışındaki eşya için temel süre ve istisnai hızlandırma koşulları nelerdir?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,242,155,397
k5607-017,"Elkonulan ve teknik düzenlemelere uygun kaçak akaryakıtın hangi kurumlar tarafından, hangi yöntemlerle tasfiye edilmesi öngörülür?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,232,101,333
k5607-018,5607 sayılı Kanun kapsamındaki suçlar nedeniyle açılan davalara hangi mahkemeler bakar; resmî belgede sahtecilik bağlantısı varsa görevli mahkeme nasıl değişir?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,239,113,352
k5607-019,"Kaçakçılık fiillerini önleme, izleme ve araştırma yükümlülüğü hangi kamu görevlileri ve kurum personeline verilmiştir?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,228,71,299
k5607-020,Kaçakçılık fiillerinin izlenmesine ilişkin tutanakta olay ve kanıtlar ile elkonulan eşya ve taşıma araçları hakkında hangi ayrıntılar bulunmalıdır?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,235,70,305
k5607-021,5607 sayılı Kanun çerçevesindeki kontrollü teslimat işlemlerini hangi kurumlar yürütür?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,221,49,270
k5607-022,"Gümrük kapıları ve yolları dışından gümrük bölgesine girmek isteyen kişi “dur” uyarısına uymazsa, silah kullanma yetkisi bakımından kanun hangi aşamalı uyarıyı öngörür?",5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,253,496,749
k5607-023,Kaçak şüphesiyle eşya yakalanması hâlinde muhbir ve elkoyma ikramiyesine hak kazananlara ödeme yapılmasının temel dayanağı nedir?,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu | 5326_kabahatler_kanunu,success,236,75,311
