id,question,expected_source_keys,category,difficulty,source_verified,expert_validated,notes,question_clear,question_natural,expected_sources_correct,answerable_from_current_corpus,ambiguous,review_status,reviewer_notes
gy-021,Götürü teminat mektubu örneğinde gümrük idaresinin ilk isteğinde başka bir ispat belgesi aranmadan ödeme taahhüdü var mı?,gumruk_yonetmeligi/annex/77/a,ambiguity_resistant,medium,True,False,EK-77/A götürü teminat mektubudur; ilk istekte itirazsız ödeme ifadesi içerir.,,,,,,pending,
gy-022,Toplu teminat mektubu için hangi ek metni kullanılır ve bu metinde ödeme tutarı hangi para birimiyle yazılır?,gumruk_yonetmeligi/annex/77/b,ambiguity_resistant,medium,True,False,EK-77/B toplu teminat başlığını ve TL tutar alanını içerir.,,,,,,pending,
gy-023,"Kabul edilmiş kaynak metninde EK-81/A yürürlükte bir form olarak mı, mülga kaydıyla mı yer alıyor?",gumruk_yonetmeligi/annex/81/a,repeal_status,easy,True,False,EK-81/A metninde mülga kaydı bulunur; mevcut form içeriği varsayılmaz.,,,,,,pending,
gy-024,"Antrepo stok defteri tablosunda net ağırlık, brüt ağırlık ve antrepoya giriş tarihi için ayrı alanlar var mı?",gumruk_yonetmeligi/annex/83,form_field,easy,True,False,EK-83 elektronik stok tablosunda net/brüt ağırlık ve giriş tarihi sütunları bulunur.,,,,,,pending,
gy-025,Bağlayıcı tarife bilgisine başvuru kaç kalem eşya için yapılabilir ve kullanılacak başvuru formunda başvuru sahibi nasıl tanımlanır?,gumruk_yonetmeligi/normal/28 | gumruk_yonetmeligi/annex/1,cross_reference,medium,True,False,Madde 28 EK-1 formuna açıkça atıf yapar; form başvuru sahibinin adı ve adresini ister.,,,,,,pending,
gy-026,Parlayıcı veya özel tertibat gerektiren eşyanın antrepoya konulmasında hangi özel düzenek koşulu aranır ve atıf yapılan eşya listesi hangisidir?,gumruk_yonetmeligi/normal/330 | gumruk_yonetmeligi/annex/62,cross_reference,hard,True,False,Madde 330 EK-62 listesini antreponun özel düzenek koşuluyla bağlar.,,,,,,pending,
gy-027,Serbest dolaşımda bulunmayan eşyanın antrepoda elleçlenmesine izin verilmesine ilişkin hüküm ile bu faaliyetlerin tarife pozisyonuna etkisini sınırlayan ek birlikte nerede düzenlenmiştir?,gumruk_yonetmeligi/normal/334 | gumruk_yonetmeligi/annex/63,cross_reference,hard,True,False,Madde 334 EK-63 faaliyetlerine atıf yapar; ek genel tarife pozisyonu kuralını verir.,,,,,,pending,
gy-028,Gümrük yükümlülüğü devam eden eski işlemler için teminat değiştirilirken yeni mektuba hangi ek ifadeler alınır ve bu ifadeler önceki riskleri nasıl kapsar?,gumruk_yonetmeligi/normal/496 | gumruk_yonetmeligi/annex/77/c,cross_reference,hard,True,False,Madde 496 EK-77/C ifadelerini gerektirir; ek önceki işlemlerden kaynaklı riskleri kapsar.,,,,,,pending,
gy-029,Gümrük vergisi veya para cezasının geri verilmesi ya da kaldırılması başvurusu hangi form ve kanalla yapılır; formda başvuru sahibinin banka hesap bilgisi istenir mi?,gumruk_yonetmeligi/normal/502 | gumruk_yonetmeligi/annex/78,cross_reference,medium,True,False,Madde 502 EK-78 ile elektronik başvuruyu düzenler; form banka hesap numarası ister.,,,,,,pending,
gy-030,"A, C, D ve E tipi antrepolarda stok kayıtlarını kim tutar; stok defterinin asgari bilgileri arasında net ve brüt ağırlık hangi ek tabloda gösterilir?",gumruk_yonetmeligi/normal/536 | gumruk_yonetmeligi/annex/83,cross_reference,hard,True,False,Madde 536 kayıt tutma yükümlülüğünü EK-83 asgari tablo içeriğiyle bağlar.,,,,,,pending,
