"id","question","expected_articles","retrieved_articles","first_expected_rank","status","cited_articles","expected_article_cited","requires_priority_review","answer","legal_correctness","completeness","groundedness","citation_relevance","sufficiency_decision","unsafe_overclaim","reviewer_notes","all_expected_articles_retrieved","all_expected_articles_cited"
"q013","İdarî yaptırım kararına ilişkin tutanakta hangi bilgilerin bulunması gerekir?","25","25 | 27 | 26 | 28 | 16","1","YETERLI","25","True","False","İdarî yaptırım kararına ilişkin tutanakta açıkça şunlar yazılır:  
- Hakkında idarî yaptırım kararı verilen kişinin kimlik ve adresi,  
- Karar verilmesini gerektiren kabahat fiili,  
- Fiilin işlendiğini ispata yarayacak bütün deliller,  
- Karar tarihi ile kararı veren kamu görevlilerinin kimliği. [KAYNAK 1]

Ayrıca kabahati oluşturan fiil; işlendiği yer ve zaman gösterilerek açıklanır. [KAYNAK 1]","","","","","","","","True","True"
"q014","İdarî para cezasına karşı hangi sürede ve nereye başvurulabilir?","27","17 | 27 | 28 | 3 | 20","2","YETERLI","27","True","False","İdarî para cezasına karşı, kararın tebliği veya tefhimi tarihinden itibaren en geç onbeş gün içinde sulh ceza mahkemesine başvurulabilir. Bu sürede başvuru yapılmazsa idarî yaptırım kararı kesinleşir. [KAYNAK 2]

Mücbir sebep nedeniyle süre kaçırılmışsa, mücbir sebebin ortadan kalktığı tarihten itibaren en geç yedi gün içinde başvuru yapılabilir. [KAYNAK 2]","","","","","","","","True","True"
"q015","Yetkili makamın hukuka uygun olarak verdiği emre aykırı davranmanın yaptırımı nedir?","32","32 | 37 | 41 | 27 | 28","1","YETERLI","32","True","False","Yetkili makamların adlî işlemler nedeniyle veya kamu güvenliği, kamu düzeni ya da genel sağlığın korunması amacıyla hukuka uygun olarak verdiği emre aykırı hareket eden kişiye 100 Türk Lirası idarî para cezası verilir. Bu cezaya emri veren makam karar verir. Ancak bu hüküm, ilgili kanunda açıkça hüküm bulunan hâllerde uygulanabilir. [KAYNAK 1]","","","","","","","","True","True"
"q016","Kabahatler Kanunu'nun genel kuralları başka kanunlardaki idari para cezalarına hangi durumda uygulanır?","3","3 | 3 | 15 | 28 | 1","1","YETERLI","3","True","False","Kabahatler Kanunu’nun kanun yoluna ilişkin hükümleri, diğer kanunlarda aksine hüküm yoksa uygulanır. Diğer genel hükümleri ise idari para cezası veya mülkiyetin kamuya geçirilmesi yaptırımını gerektiren bütün fiiller hakkında uygulanır. [KAYNAK 1]","","","","","","","","True","True"
"q017","Bir kabahat, davranışın yapıldığı anda mı yoksa sonucu ortaya çıktığında mı işlenmiş sayılır?","5","5 | 7 | 2 | 14 | 20","1","YETERLI","5","True","False","Kabahat, failin icraî veya ihmali davranışı gerçekleştirdiği anda işlenmiş sayılır; neticenin ortaya çıktığı zaman bu açıdan dikkate alınmaz. [KAYNAK 1]","","","","","","","","True","True"
"q018","Bir şeyi yapmamak hangi şartla kabahat sayılabilir?","7","7 | 14 | 2 | 41 | 15","1","YETERLI","7 | 2","True","False","Bir şeyi yapmamak, kişi açısından belli bir icraî davranışta bulunmaya yönelik hukukî bir yükümlülük varsa ihmali davranışla işlenmiş kabahat sayılabilir. Kabahat, kanunun karşılığında idarî yaptırım öngördüğü haksızlıktır. [KAYNAK 1] [KAYNAK 3]","","","","","","","","True","True"
"q019","Şirket çalışanının işi sırasında işlediği kabahat yüzünden şirket sahibine de yaptırım uygulanabilir mi?","8","8 | 27 | 16 | 15 | 14","1","YETERLI","8 | 16","True","False","Evet. Gerçek kişiye ait bir işte çalışan kişinin, iş faaliyeti çerçevesinde işlediği kabahat nedeniyle iş sahibi kişi hakkında da idarî yaptırım uygulanabilir. İdarî yaptırımlar idarî para cezası veya idarî tedbir olabilir. [KAYNAK 1] [KAYNAK 3]","","","","","","","","True","True"
"q020","Kişinin yanılmasıyla ilgili ceza hukuku kuralları her kabahatte uygulanır mı?","10","5 | 12 | 28 | 10 | 20","4","YETERLI","10","True","False","Hayır. Türk Ceza Kanununun hata hallerine ilişkin hükümleri, kabahatler bakımından yalnızca kasten işlenen kabahatlerde uygulanır. [KAYNAK 4]","","","","","","","","True","True"
"q021","Bir eşyaya kabahat nedeniyle devletçe el konulup mülkiyetinin alınabilmesi için mutlaka faile ayrıca ceza verilmiş olması gerekir mi?","18","18 | 14 | 27 | 41 | 15","1","YETERLI","18","True","False","Hayır. Eşyanın mülkiyetinin kamuya geçirilmesine karar verilebilmesi için fail hakkında idarî para cezası veya başka bir idarî yaptırım kararı verilmiş olması şart değildir. Ancak bu karara, kabahatin konusunu oluşturan ya da işlenmesiyle elde edilen eşya bakımından, kanunda açık hüküm bulunan hâllerde karar verilebilir. [KAYNAK 1]","","","","","","","","True","True"
"q022","Kanun cezayı verecek görevliyi açıkça söylemiyorsa idari yaptırım kararını kim verir?","22","25 | 26 | 22 | 27 | 43/A","3","YETERLI","22","True","False","Kanunda açık hüküm bulunmayan hâllerde, idarî yaptırım kararını ilgili kamu kurum ve kuruluşunun en üst amiri verir. [KAYNAK 3]","","","","","","","","True","True"
"q023","İdari yaptırım kararı kişiye bildirilirken itiraz edebileceği yer ve süre de yazılmak zorunda mı?","26","29 | 27 | 26 | 25 | 28","3","YETERLI","26","True","False","Evet. İdarî yaptırım kararı kişiye tebliğ edilirken, tebligat metninde karara karşı başvurulabilecek kanun yolu, başvuru mercii ve başvuru süresi açıkça belirtilmek zorundadır. [KAYNAK 3]","","","","","","","","True","True"
"q024","Kabahate teşebbüs hangi istisnai durumda cezalandırılabilir ve bu durumda hangi hükümler uygulanır?","13","13 | 14 | 43/A | 41 | 37","1","YETERLI","13","True","False","Kabahate teşebbüs kural olarak cezalandırılmaz. Ancak, ilgili kanunda teşebbüsün de cezalandırılabileceğine ilişkin hüküm bulunması istisnasında cezalandırılabilir. Bu durumda Türk Ceza Kanununun suça teşebbüs ve gönüllü vazgeçmeye ilişkin hükümleri kabahatler bakımından da uygulanır. [KAYNAK 1]","","","","","","","","True","True"
"q025","Tek bir davranış hem suç hem kabahat olarak düzenlenmişse hangi yaptırım uygulanır; suçtan ceza verilemezse ne olur?","15","43/A | 15 | 27 | 28 | 14","2","YETERLI","15","True","False","Tek bir fiil hem kabahat hem suç olarak tanımlanmışsa, yalnız suç nedeniyle yaptırım uygulanır. Suç nedeniyle yaptırım uygulanamayan hâllerde ise kabahat nedeniyle yaptırım uygulanır. [KAYNAK 2]","","","","","","","","True","True"
"q026","İdari para cezası ödeme süresinde ödenirse indirim uygulanır mı ve ödeme itiraz hakkını ortadan kaldırır mı?","17","17 | 28 | 27 | 29 | 21","1","YETERLI","17 | 27","True","False","İdari para cezası, ödeme süresi içinde ödenirse cezada %25 indirim uygulanır. Kanunda ödeme süresi düzenlenmemiş cezalar ise tebliğden itibaren bir ay içinde ödenir. [KAYNAK 1]

Ödeme yapılması, karara karşı kanun yoluna başvurma hakkını ortadan kaldırmaz. İdari para cezasına karşı kural olarak tebliğ veya tefhimden itibaren en geç 15 gün içinde sulh ceza mahkemesine başvurulabilir. [KAYNAK 1] [KAYNAK 3]","","","","","","","","True","True"
"q027","Nispi idari para cezasını gerektiren bir kabahatte soruşturma zamanaşımı kaç yıldır?","20","20 | 3 | 21 | 28 | 27","1","YETERLI","20","True","False","Nispi idarî para cezasını gerektiren kabahatlerde soruşturma zamanaşımı süresi sekiz yıldır. [KAYNAK 1]","","","","","","","","True","True"
"q028","Mücbir sebeple on beş günlük başvuru süresi kaçırılırsa ne kadar sürede başvurulabilir ve başvuru kesinleşmeyi durdurur mu?","27","27 | 28 | 21 | 30 | 29","1","YETERLI","27","True","False","Mücbir sebep nedeniyle on beş günlük süre geçirilmişse, mücbir sebebin ortadan kalktığı tarihten itibaren en geç yedi gün içinde başvuru yapılabilir. [KAYNAK 1]

Bu başvuru idarî yaptırım kararının kesinleşmesini engellemez; ancak mahkeme yerine getirmeyi durdurabilir. [KAYNAK 1]","","","","","","","","True","True"
"q029","Kanun yolu başvurusundan vazgeçen kişi aynı konuda yeniden başvurabilir mi?","30","30 | 29 | 31 | 27 | 3","1","YETERLI","30","True","False","Hayır. Kanun yolu başvurusundan vazgeçilmesi hâlinde, aynı konuda yeniden başvuruda bulunulamaz. Vazgeçme, bu konuda karar verilinceye kadar mümkündür. [KAYNAK 1]","","","","","","","","True","True"
"q030","Kamu binasında sigara içme yasağı, sigara içmek için ayrılmış bölümde de uygulanır mı?","39","39 | 43/C | 42 | 41 | 43","1","YETERLI","39","True","False","Hayır. Kamu hizmet binalarının kapalı alanlarında tütün mamulü tüketimine ilişkin idarî para cezası hükmü, tütün mamulü tüketilmesine tahsis edilen alanlarda uygulanmaz. [KAYNAK 1]","","","","","","","","True","True"
"q031","Çevreyi kirleten kişi kirliliği hemen temizlerse yine de idari para cezası verilmesi zorunlu mudur?","41","41 | 36 | 43/A | 32 | 33","1","YETERLI","41","True","False","Hayır. Bu kabahatler nedeniyle oluşan kirlilik kişinin derhal gidermesi hâlinde idari para cezasına karar verilmeyebilir. Bu nedenle, derhal temizlik yapılmış olması ceza verilmesini zorunlu kılmaz; ceza verilmemesi mümkündür. [KAYNAK 1]","","","","","","","","True","True"
"q032","İdari yaptırım kararını vermeye kim yetkilidir ve karar tutanağında kişi ile fiil hakkında hangi temel bilgiler bulunmalıdır?","22 | 25","25 | 27 | 26 | 28 | 24","1","YETERSIZ","24 | 25","True","True","Sağlanan kaynaklar, idarî yaptırım kararını verme yetkisinin genel olarak hangi kişi veya makamda olduğunu tam biçimde düzenlememektedir. Ancak kovuşturma konusu fiilin kabahat olduğunun anlaşılması hâlinde idarî yaptırım kararını mahkeme verir. [KAYNAK 5]

Karar tutanağında; yaptırım uygulanan kişinin kimliği ve adresi, yaptırımı gerektiren kabahat fiili, fiilin işlendiğini ispata yarayan bütün deliller, karar tarihi ve kararı veren kamu görevlilerinin kimliği açıkça yer almalıdır. Ayrıca kabahati oluşturan fiil; işlendiği yer ve zaman gösterilerek açıklanmalıdır. [KAYNAK 1]","","","","","","","","False","False"
"q033","Bir fiilin soruşturma sırasında veya kovuşturma sırasında kabahat olduğu anlaşılırsa idari yaptırım kararını sırasıyla kim verir?","23 | 24","27 | 15 | 20 | 24 | 28","4","YETERSIZ","24","True","True","Kovuşturma konusu fiilin kabahat oluşturduğunun anlaşılması hâlinde idarî yaptırım kararını mahkeme verir. [KAYNAK 4] Soruşturma sırasında fiilin kabahat olduğunun anlaşılması hâlinde kararı kimin vereceği, sağlanan kaynaklarda açıkça düzenlenmemiştir.","","","","","","","","False","False"
"q034","İdari yaptırım kararı nasıl tebliğ edilir ve bu karara karşı olağan başvurunun mercii ile süresi nedir?","26 | 27","26 | 27 | 28 | 29 | 25","1","YETERLI","26 | 27","True","False","İdarî yaptırım kararı, ilgili kişiye Tebligat Kanunu hükümlerine göre tebliğ edilir. Tebligat metninde başvurulabilecek kanun yolu, mercii ve sürenin açıkça belirtilmesi gerekir. Karar kişinin huzurunda verilmişse bu husus tutanağa yazılır; kişiye başvuru yolu, mercii ve süresi hakkında bilgi verilir ve tutanak örneği kendisine verilir. Tüzel kişiler hakkındaki kararlar her hâlde tüzel kişiye tebliğ edilir. Belirli protokoller ve teknik altyapı kapsamında elektronik tebligat da yapılabilir; bu tebligat, elektronik adrese ulaştığı tarihi izleyen beşinci günün sonunda yapılmış sayılır. [KAYNAK 1]

İdarî para cezası veya mülkiyetin kamuya geçirilmesine ilişkin idarî yaptırım kararına karşı, tebliğ veya tefhimden itibaren en geç 15 gün içinde sulh ceza mahkemesine başvurulur. Süresinde başvuru yapılmazsa karar kesinleşir. [KAYNAK 2]","","","","","","","","True","True"
"q035","İdari para cezasını süresinde ödeyen kişi indirimden yararlanıp yine de kanun yoluna başvurabilir mi ve bu başvuru harca tabi midir?","17 | 31","17 | 28 | 27 | 21 | 43/A","1","YETERSIZ","17 | 27","True","True","Ödeme süresi içinde yapılan ödemede idarî para cezasından %25 indirim uygulanır; ödeme yapılması, karara karşı kanun yoluna başvurma hakkını etkilemez. İdarî para cezasına karşı tebliğ veya tefhimden itibaren en geç onbeş gün içinde sulh ceza mahkemesine başvurulabilir. [KAYNAK 1] [KAYNAK 3]

Sağlanan kaynaklarda bu başvurunun harca tabi olup olmadığına ilişkin bilgi bulunmamaktadır.","","","","","","","","False","False"
"q036","Eşyanın mülkiyetinin kamuya geçirilmesi kararı ne zaman yerine getirilir ve bu karar için yerine getirme zamanaşımı ne kadardır?","18 | 21","18 | 21 | 27 | 41 | 20","1","YETERLI","18 | 21","True","False","Eşyanın mülkiyetinin kamuya geçirilmesine ilişkin karar, kesinleşmesi hâlinde yerine getirilir. [KAYNAK 1]

Bu karar için yerine getirme zamanaşımı süresi on yıldır. Süre, kararın kesinleştiği takvim yılını izleyen takvim yılının başından itibaren işlemeye başlar. Kanun hükmü nedeniyle yaptırımın yerine getirilmesine başlanamaması veya yerine getirilememesi hâlinde zamanaşımı işlemez. [KAYNAK 2]","","","","","","","","True","True"
"q037","Dilencilik ve kumar kabahatlerinde gelire ne olur ve mülkiyetin kamuya geçirilmesine hangi makamlar karar verir?","33 | 34","34 | 33 | 18 | 27 | 28","1","YETERLI","33 | 34","True","False","Dilencilikte, dilencilikten elde edilen gelire elkonulur ve bu gelirin mülkiyetinin kamuya geçirilmesine karar verilir. Mülkiyetin kamuya geçirilmesine mülkî amir veya belediye encümeni karar verir. [KAYNAK 2]

Kumarda, kumardan elde edilen gelire elkonulur ve bu gelirin mülkiyetinin kamuya geçirilmesine karar verilir. Mülkiyetin kamuya geçirilmesine mülkî amir karar verir. [KAYNAK 1]","","","","","","","","True","True"
"q038","112'yi kasıtlı biçimde meşgul eden veya asılsız ihbarda bulunan kişi bir yıl içinde aynı fiili tekrarlarsa ceza nasıl uygulanır?","42/A","42/A | 43/A | 15 | 20 | 17","1","YETERLI","42/A","True","False","112 Acil Çağrı Merkezini kasıtlı olarak meşgul etme veya asılsız ihbar fiilinin bir yıl içinde tekrarlanması hâlinde, idari para cezası iki kat uygulanır. Buna göre meşgul etme için 3.000 TL, asılsız ihbar için 30.000 TL idari para cezası verilir; cezayı il valileri uygular. [KAYNAK 1]","","","","","","","","True","True"
"q039","Bir şirket yararına rüşvet veya dolandırıcılık işlenirse şirkete ayrıca idari para cezasını hangi mahkeme verebilir?","43/A","43/A | 37 | 14 | 41 | 33","1","YETERLI","43/A","True","False","Şirket yararına rüşvet veya dolandırıcılık işlenmesi hâlinde, şirkete verilecek idarî para cezasına bu suçlar nedeniyle yargılama yapmakla görevli mahkeme karar verir. [KAYNAK 1]","","","","","","","","True","True"
"q040","Bir banka kendisine verilen paranın sahte olduğunu fark ettiği halde bildirim yapmazsa tüzel kişiye kim idari para cezası verebilir?","43/B","43/B | 43/A | 40 | 37 | 32","1","YETERLI","43/B","True","False","Banka, kendisine ibraz edilen paranın sahte olduğunu anladığı hâlde bildirim yükümlülüğünü yerine getirmezse, tüzel kişiye idarî para cezasını Cumhuriyet savcısı verir. [KAYNAK 1]","","","","","","","","True","True"
"q041","On sekiz yaşından küçüklerin kapsam dışı bıçakları satın alması veya taşıması yasak mıdır; meslek ya da eğitim için kullanım bu kurala tabi midir?","43/C","43/C | 43 | 11 | 41 | 37","1","YETERLI","43/C","True","False","Evet. 6136 sayılı Kanun kapsamı dışında kalan her tür bıçak ile diğer kesici, delici veya bereleyici aletlerin on sekiz yaşından küçük çocuklara satılması; çocuklar tarafından satın alınması veya taşınması yasaktır. [KAYNAK 1]

Ancak sanat veya mesleğin icrası ya da eğitim için gerekli bıçak, şiş ve benzerlerinin, icra yerinde ve işi/eğitimi yürüten kişilerce kullanılması, bulundurulması ve taşınması bu kurala tabi değildir. [KAYNAK 1]","","","","","","","","True","True"
"q042","Türkiye'de gerçekleşmeyen bir davranışa Kabahatler Kanunu'nun uygulanıp uygulanmayacağı hangi yer kuralına göre belirlenir?","6","7 | 5 | 1 | 10 | 2","","YETERSIZ","7 | 5","False","True","Sağlanan kaynaklarda Kabahatler Kanunu’nun Türkiye dışında gerçekleşen davranışlara uygulanmasında esas alınacak yer bakımından uygulama kuralı yer almamaktadır. Kaynaklar yalnızca kabahatin icraî veya ihmali davranışla işlenebileceğini ve işlenme zamanının failin davranışı gerçekleştirdiği zaman olduğunu belirtmektedir. [KAYNAK 1] [KAYNAK 2]","","","","","","","","False","False"
"q043","İşyeri kapatma veya ruhsat geri alma gibi süreli yaptırımlar Kabahatler Kanunu yürürlüğe girince kendiliğinden ortadan kalkmış sayılır mı?","19","19 | 2 | 13 | 21 | 30","1","YETERLI","19","True","False","Hayır. Diğer kanunlarda kabahat karşılığında belirli süreyle öngörülen işyeri kapatma veya ruhsat/ehliyet geri alma yaptırımlarına ilişkin hükümler, ilgili kanunlarda Kabahatler Kanununa uygun değişiklik yapılıncaya kadar saklı tutulmuştur. Bu nedenle, Kabahatler Kanununun yürürlüğe girmesiyle kendiliğinden ortadan kalkmış sayılmazlar. [KAYNAK 1]","","","","","","","","True","True"
"q044","Mahkeme, alt ve üst sınırı kanunda yazılı bir idari para cezasına yapılan başvuruda ceza miktarını değiştirerek karar verebilir mi?","28","28 | 17 | 43/A | 27 | 21","1","YETERLI","28","True","False","Evet. Kanunda alt ve üst sınırı gösterilen idarî para cezasına karşı başvuru yapılması hâlinde mahkeme, idarî para cezasının miktarını değiştirerek başvurunun kabulüne karar verebilir. [KAYNAK 1]","","","","","","","","True","True"
"q045","Sulh ceza mahkemesinin idari yaptırım başvurusunda verdiği son karara karşı hangi yola, ne kadar sürede gidilebilir?","29","28 | 27 | 29 | 3 | 21","3","YETERLI","29","True","False","Sulh ceza mahkemesinin idarî yaptırım başvurusu üzerine verdiği son karara karşı, Ceza Muhakemesi Kanununa göre itiraz yoluna gidilebilir. İtiraz, kararın tebliği tarihinden itibaren en geç iki hafta içinde yapılmalıdır. [KAYNAK 3]","","","","","","","","True","True"
